Pair	Pair_type	Avg(Perc change)	 Perc change(Williams)	 Perc change(Jan)	 Perc change(Nissley1)	 Perc change(Nissley2)	 Perc change(Weinberg)	 Perc change(Young)	 Perc change(Pool)		 p-value(Williams)	 p-value(Jan)	 p-value(Nissley1)	 p-value(Nissley2)	 p-value(Weinberg)	 p-value(Young)	 p-value(Pool)
A*	Fast	-12.24671850459548	-38.859051678608196	-27.386010804446293	3.12477469220022	-0.2227046587377578	-2.3163247844347947	-11.467580983237111	-8.60013131490443	5.531244559115316e-11	5.39868070127413e-08	0.31766850370467425	0.4809354499319266	0.18988475390019163	0.0038642561849107524	0.01648640962536607
F*	Fast	-29.504271873248918	-47.82615203997156	-47.493636746040266	-20.265980161601515	-21.43398491073154	-31.000282727096938	-8.145422116527945	-30.364444410772666	1.805463117241988e-18	1.0178984116009049e-20	0.006913955266299192	1.0201654157295575e-05	1.427246084498675e-06	0.02887628223705958	1.0030068504820876e-26
I*	Fast	-15.109648524594757	-3.4875463343787083	-18.47172403010124	-15.990461548632709	-11.628267163616098	-0.3966983317588185	-38.01009862398866	-17.78274363968705	0.2648190312292966	6.829657116073042e-05	0.07119858514548551	0.027862704546240742	0.08798107042982527	1.7991355864495843e-07	2.1164677958027946e-13
L*	Fast	-31.803304334675833	-25.736761770576493	-35.81648836905036	-19.881281369749164	-16.489227605852818	-35.942160048802876	-62.33091177050291	-26.42629940819622	1.4051360090317704e-08	1.0570712103359802e-15	1.5035820052520777e-05	3.971537660613897e-06	4.5562824591749385e-18	9.823530826718539e-32	1.417795253858364e-39
Y*	Fast	-21.001185111145862	-3.7140741570376994	-7.406257958678923	-29.86097013740946	-25.93120750987922	-21.94970255644986	-31.601334822171683	-26.544748636394182	0.17470108912042723	0.17972557369627915	3.0748644815393644e-05	7.681325686599881e-07	0.0007120446397264752	0.005238424538558299	5.892282742519237e-13
CA	Fast	-14.141749703217272	-10.454162551966988	-5.10122818684321	-10.142951382344767	-14.431597398070181	-20.838085054911307	-25.875819081625938	-12.148404266758524	2.264308773044839e-05	0.0010993566689871755	0.0012620130931405547	0.0002709121340987047	3.2452407275886573e-12	1.0367568605796534e-07	1.5164556864593172e-12
FA	Fast	-8.908288698727592	-4.1120811197716485	-4.9211873470211644	-10.327542713773415	-6.138232324004964	-12.886182031078569	-14.604016097290348	-9.368779258153037	0.002300946075968339	0.0004536146851733787	1.3544659184539535e-07	6.921386652123819e-05	5.69360114725677e-17	4.1464632034939665e-10	1.1279361618938987e-20
MA	Fast	-11.100973317191128	-15.237602586074775	-6.181257009540864	-10.346113011678657	-13.20340324995953	1.4332752216564715	-16.578160141494003	-17.59355244324653	9.13704398451997e-25	6.183978303454515e-05	0.0014768993241311228	1.46907790104831e-08	0.3698343622957059	1.0090068056464475e-08	4.403909354609995e-39
SA	Fast	-8.521747447693674	-6.938364773059713	-5.695925772407603	-9.217640456713669	-10.667773934883934	-12.879613340229323	-7.410613070422666	-6.842300786138816	8.246041906944364e-20	1.4730277060077844e-10	6.986634777948853e-08	3.709667310767688e-20	1.5298219126470995e-26	1.428896381250973e-07	4.2588501279133373e-19
VA	Fast	-7.486546003106562	-8.403790087463555	-11.173859934648124	-7.220270314334172	-5.2912912912912775	-13.132955700225967	-1.3575309199099228	-5.826123773872922	1.5860763309364668e-17	4.82345203645851e-26	2.9879695753533274e-07	1.0751320898677147e-05	2.4170121228845026e-26	0.20080559377399987	4.445509518831589e-13
EC	Fast	-13.789253406776206	-16.40534955745655	-13.493494268686451	-14.127481182277876	-13.25003639407504	-7.439253416543878	-17.836951436936847	-13.97220759145679	9.054247730627956e-13	1.2223710072740104e-06	0.0021032870687932143	5.19099041374858e-05	0.0017046580214648748	0.000114530655504861	1.0181895577694286e-19
FC	Fast	-7.644514350381883	-2.281552056120341	-5.011682242990655	-7.917370639764357	-2.993524370855783	-7.705886035011565	-16.933088048471244	-10.668497059459229	0.3272623040169816	0.026029180761669022	0.1657691215857841	0.2630811926202778	0.01694421824224916	0.005647496930990712	6.86835813676805e-08
KC	Fast	-6.958896316955973	-8.429072551072348	-11.174309752340319	-10.848829638203984	-3.209085410028776	-2.1589533848945592	-14.324099909801305	1.4320764276494744	2.9460287076088853e-06	4.5458995528179354e-05	0.008887802838055561	0.17311417803609708	0.07682126869922273	0.0002968661802215454	0.18755303537027002
LC	Fast	-7.55292420564409	0.4489759812431232	-0.32634965995156273	-9.138196453818631	-7.1907705984689985	-11.076937202862904	-15.72712045702647	-9.860071048623192	0.2733494782614621	0.41268775396611007	0.0130379521652472	0.0021742252220887516	1.1632426366035171e-07	8.034744254103022e-05	6.269997626692361e-17
